"region","federal_district","iso_code"
"Брянская область","Central","RU-BRY"
"Владимирская область","Central","RU-VLA"
"Ивановская область","Central","RU-IVA"
"Калужская область","Central","RU-KLU"
"Костромская область","Central","RU-KOS"
"Москва","Central","RU-MOW"
"Московская область","Central","RU-MOS"
"Орловская область","Central","RU-ORL"
"Смоленская область","Central","RU-SMO"
"Тверская область","Central","RU-TVE"
"Тульская область","Central","RU-TUL"
"Рязанская область","Central","RU-RYA"
"Ярославская область","Central","RU-YAR"
"Нижегородская область","Volga","RU-NIZ"
"Республика Марий Эл","Volga","RU-ME"
"Кировская область","Volga","RU-KIR"
"Республика Мордовия","Volga","RU-MO"
"Чувашская республика - Чувашия","Volga","RU-CU"
"Курганская область","Ural","RU-KGN"
"Свердловская область","Ural","RU-SVE"
"Челябинская область","Ural","RU-CHE"
"Пермский край","Volga","RU-PER"
"Оренбургская область","Volga","RU-ORE"
"Республика Башкортостан","Volga","RU-BA"
"Удмуртская республика","Volga","RU-UD"
"Астраханская область","South","RU-AST"
"Волгоградская область","South","RU-VGG"
"Саратовская область","Volga","RU-SAR"
"Самарская область","Volga","RU-SAM"
"Ульяновская область","Volga","RU-ULY"
"Пензенская область","Volga","RU-PNZ"
"Республика Калмыкия","South","RU-KL"
"Республика Татарстан","Volga","RU-TA"
"Белгородская область","Central","RU-BEL"
"Воронежская область","Central","RU-VOR"
"Курская область","Central","RU-KRS"
"Липецкая область","Central","RU-LIP"
"Тамбовская область","Central","RU-TAM"
"Архангельская область","Northwest","RU-ARK"
"Мурманская область","Northwest","RU-MUR"
"Вологодская область","Northwest","RU-VLG"
"Республика Карелия","Northwest","RU-KR"
"Республика Коми","Northwest","RU-KO"
"Ненецкий автономный округ","Northwest","RU-NEN"
"Ленинградская область","Northwest","RU-LEN"
"Калининградская область","Northwest","RU-KGD"
"Новгородская область","Northwest","RU-NGR"
"Псковская область","Northwest","RU-PSK"
"Санкт-Петербург","Northwest","RU-SPE"
"Краснодарский край","South","RU-KDA"
"Ставропольский край","North Caucasus","RU-STA"
"Ростовская область","South","RU-ROS"
"Республика Адыгея","South","RU-AD"
"Республика Дагестан","North Caucasus","RU-DA"
"Республика Ингушетия","North Caucasus","RU-IN"
"Карачаево-Черкесская республика","North Caucasus","RU-KC"
"Кабардино-Балкарская республика","North Caucasus","RU-KB"
"Республика Северная Осетия - Алания","North Caucasus","RU-SE"
"Чеченская республика","North Caucasus","RU-CE"
"Алтайский край","Siberia","RU-ALT"
"Кемеровская область - Кузбасс","Siberia","RU-KEM"
"Новосибирская область","Siberia","RU-NVS"
"Омская область","Siberia","RU-OMS"
"Томская область","Siberia","RU-TOM"
"Тюменская область","Ural","RU-TYU"
"Республика Алтай","Siberia","RU-AL"
"Ханты-Мансийский автономный округ - Югра","Ural","RU-KHM"
"Ямало-Ненецкий автономный округ","Ural","RU-YAN"
"Красноярский край","Siberia","RU-KYA"
"Иркутская область","Siberia","RU-IRK"
"Забайкальский край","Far East","RU-ZAB"
"Республика Бурятия","Far East","RU-BU"
"Республика Тыва","Siberia","RU-TY"
"Республика Хакасия","Siberia","RU-KK"
"Приморский край","Far East","RU-PRI"
"Хабаровский край","Far East","RU-KHA"
"Еврейская автономная область","Far East","RU-YEV"
"Амурская область","Far East","RU-AMU"
"Камчатский край","Far East","RU-KAM"
"Магаданская область","Far East","RU-MAG"
"Чукотский автономный округ","Far East","RU-CHU"
"Сахалинская область","Far East","RU-SAK"
"Республика Саха (Якутия)","Far East","RU-SA"
