region,economic_region,iso_code
Брянская область,Central,RU-BRY
Владимирская область,Central,RU-VLA
Ивановская область,Central,RU-IVA
Калужская область,Central,RU-KLU
Костромская область,Central,RU-KOS
Московская область,Central,RU-MOS
Орловская область,Central,RU-ORL
Смоленская область,Central,RU-SMO
Тверская область,Central,RU-TVE
Тульская область,Central,RU-TUL
Рязанская область,Central,RU-RYA
Ярославская область,Central,RU-YAR
Нижегородская область,Volga-Vyatka,RU-NIZ
Республика Марий Эл,Volga-Vyatka,RU-ME
Кировская область,Volga-Vyatka,RU-KIR
Республика Мордовия,Volga-Vyatka,RU-MO
Чувашская республика - Чувашия,Volga-Vyatka,RU-CU
Курганская область,Ural,RU-KGN
Свердловская область,Ural,RU-SVE
Челябинская область,Ural,RU-CHE
Пермский край,Ural,RU-PER
Оренбургская область,Ural,RU-ORE
Республика Башкортостан,Ural,RU-BA
Удмуртская республика,Ural,RU-UD
Астраханская область,Volga,RU-AST
Волгоградская область,Volga,RU-VGG
Саратовская область,Volga,RU-SAR
Самарская область,Volga,RU-SAM
Ульяновская область,Volga,RU-ULY
Пензенская область,Volga,RU-PNZ
Республика Калмыкия,Volga,RU-KL
Республика Татарстан,Volga,RU-TA
Белгородская область,Central-Chernozem,RU-BEL
Воронежская область,Central-Chernozem,RU-VOR
Курская область,Central-Chernozem,RU-KRS
Липецкая область,Central-Chernozem,RU-LIP
Тамбовская область,Central-Chernozem,RU-TAM
