"region",2016,2017,2018,2019,2020,2021
"Белгородская область",789200,791100,791900,792800,791500,793300
"Брянская область",595900,585200,585700,571300,559500,568200
"Владимирская область",695700,694900,685900,690500,669000,679000
"Воронежская область",1112800,1125200,1139800,1137900,1116700,1136100
"Ивановская область",506300,516500,502600,496500,485700,502100
"Калужская область",520300,516100,527000,516500,512900,519900
"Костромская область",309500,308900,303200,296600,292000,294500
"Курская область",545100,547900,550300,546700,529400,544100
"Липецкая область",573900,575300,577700,574300,569900,571900
"Московская область",3862800,3948200,4032200,4063300,3997300,3994300
"Орловская область",359800,353900,349600,327100,326900,332900
"Рязанская область",514600,517100,503900,511600,487800,498300
"Смоленская область",487400,490700,482200,455600,451200,455700
"Тамбовская область",498300,493300,485900,478800,475800,481700
"Тверская область",648600,655400,655600,645800,625500,619200
"Тульская область",767200,760200,759700,760200,755500,762600
"Ярославская область",632500,624300,626400,612700,601000,619400
"Москва",7106800,7086800,7158100,7196200,7110200,7139500
"Республика Карелия",296900,291000,284200,282400,273000,274800
"Республика Коми",425500,409600,406400,398300,382300,379700
"Ненецкий автономный округ",21400,20400,20300,20900,19900,21500
"Архангельская область",529800,530400,516100,500700,482600,493300
"Вологодская область",570500,554200,547200,539900,535300,530100
"Калининградская область",493000,491800,500200,512000,498100,513200
"Ленинградская область",921900,943000,929700,929500,928200,960400
"Мурманская область",410500,408300,393800,396900,377700,387900
"Новгородская область",305700,300400,296800,290600,271000,285600
"Псковская область",311300,297900,300800,299900,281700,299700
"Санкт-Петербург",2970500,2990500,3009900,3024000,3001200,3038600
"Республика Адыгея",183700,182500,183300,184100,184500,185200
"Республика Калмыкия",129500,126100,124400,120400,122300,122500
"Республика Крым",839400,857200,847800,866000,865600,873800
"Краснодарский край",2579400,2619000,2670900,2665200,2653800,2673900
"Астраханская область",483000,495500,473600,467800,463300,465700
"Волгоградская область",1200600,1193300,1218700,1173800,1151900,1184600
"Ростовская область",2048800,2018100,2020200,1992500,2000200,2043500
"Севастополь",181300,192800,209000,212400,207100,221400
"Республика Дагестан",1188800,1196400,1215400,1198000,1080400,1159400
"Республика Ингушетия",161200,183000,182600,186600,181400,182300
"Кабардино-Балкарская республика",387200,387900,401200,395400,385500,397400
"Карачаево-Черкесская республика",184200,181400,187700,179000,173400,185600
"Республика Северная Осетия - Алания",291900,293700,312100,270600,239500,268900
"Чеченская республика",523000,534100,542800,546400,531400,557400
"Ставропольский край",1299200,1281600,1306500,1313200,1283800,1301000
"Республика Башкортостан",1895400,1881300,1855400,1810200,1786600,1828100
"Республика Марий Эл",331000,325500,314000,317600,302900,312300
"Республика Мордовия",424700,416300,402900,418700,382200,404200
"Республика Татарстан",1980800,1968200,1963500,1964600,1948100,1974000
"Удмуртская республика",764200,750600,743500,728700,720900,725500
"Чувашская республика - Чувашия",611800,594000,587300,578500,566700,578200
"Пермский край",1236700,1202700,1195200,1160000,1159600,1186200
"Кировская область",643500,635200,631900,605800,597200,599100
"Нижегородская область",1696000,1695900,1685200,1680100,1655000,1663300
"Оренбургская область",962200,957700,960700,885100,876900,898600
"Пензенская область",675900,642000,653100,625000,606300,635200
"Самарская область",1686700,1646200,1647400,1615300,1599300,1623200
"Саратовская область",1178500,1142200,1135000,1149700,1098100,1115700
"Ульяновская область",623100,613100,602300,587900,569500,583200
"Курганская область",376600,365700,353200,336100,338400,336100
"Свердловская область",2092400,2056000,2042200,2031600,1983000,2031700
"Ханты-Мансийский автономный округ - Югра",876700,886800,894200,892200,883800,893000
"Ямало-Ненецкий автономный округ",312900,303300,308400,309300,301600,310300
"Тюменская область",676700,681400,692200,696800,695900,697200
"Челябинская область",1719700,1736800,1767900,1776300,1727300,1760000
"Республика Алтай",86800,86700,85300,84500,84800,85600
"Республика Тыва",107200,103300,108300,102400,106700,107600
"Республика Хакасия",243800,246000,242100,231000,219300,238000
"Алтайский край",1059600,1053100,1084500,1069900,1032400,1049200
"Красноярский край",1391800,1408900,1417900,1412700,1369900,1408200
"Иркутская область",1137300,1103900,1091600,1087900,1062500,1078100
"Кемеровская область - Кузбасс",1264000,1241700,1235200,1218200,1189300,1194100
"Новосибирская область",1345600,1343100,1331100,1337000,1298100,1341000
"Омская область",971900,957000,952800,945300,927900,935800
"Томская область",509500,499100,512700,511200,490200,509300
"Республика Бурятия",408500,398900,412300,392700,381400,391500
"Забайкальский край",477500,477300,477300,476200,472400,473800
"Республика Саха (Якутия)",454600,462300,464600,466100,462900,465400
"Камчатский край",175500,171100,170100,174500,173900,173900
"Приморский край",986500,979300,980800,942700,944000,957800
"Хабаровский край",697400,697500,698500,673900,690600,687500
"Амурская область",389400,389300,386500,385500,378700,381000
"Магаданская область",86400,86100,83100,81200,80700,82300
"Сахалинская область",260500,259700,261900,258900,260100,259900
"Еврейская автономная область",77600,75500,73600,72600,73100,72400
"Чукотский автономный округ",31200,30400,29500,29900,29500,30300
