"row","col","code","code_en","name"
1,1,"Спб","Spb","Санкт-Петербург"
1,5,"Мур","Mur","Мурманская область"
2,17,"Чук","Chu","Чукотский автономный округ"
2,18,"Кам","Kam","Камчатский край"
2,4,"Кар","Kar","Республика Карелия"
2,10,"Нен","Nen","Ненецкий автономный округ"
2,1,"Мск","Msk","Москва"
3,11,"Ямал","Yamal","Ямало-Ненецкий автономный округ"
3,16,"Саха","Sakha","Республика Саха (Якутия)"
3,17,"Маг","Mag","Магаданская область"
3,3,"Лен","Len","Ленинградская область"
3,4,"Новг","Novg","Новгородская область"
3,5,"Воло","Volo","Вологодская область"
3,9,"Арх","Arkh","Архангельская область"
3,10,"Коми","Komi","Республика Коми"
3,14,"Крас","Kras","Красноярский край"
4,11,"Хан","Khan","Ханты-Мансийский автономный округ - Югра"
4,12,"Тюм","Tyum","Тюменская область"
4,8,"Мари","Mari","Республика Марий Эл"
4,9,"Кир","Kir","Кировская область"
4,10,"Пер","Per","Пермский край"
4,16,"Амур","Amur","Амурская область"
4,17,"Хаб","Khab","Хабаровский край"
4,19,"Схлн","Skhln","Сахалинская область"
4,1,"Кали","Kali","Калининградская область"
4,3,"Пск","Psk","Псковская область"
4,13,"Томск","Tomsk","Томская область"
4,14,"Кем","Kem","Кемеровская область - Кузбасс"
4,15,"Ирк","Irk","Иркутская область"
4,4,"Твeр","Tver","Тверская область"
4,5,"Яро","Yaro","Ярославская область"
4,6,"Ива","Iva","Ивановская область"
4,7,"Кос","Kos","Костромская область"
5,11,"Свер","Svr","Свердловская область"
5,12,"Кург","Kurg","Курганская область"
5,7,"Ниж","Nizh","Нижегородская область"
5,8,"Чув","Chuv","Чувашская республика - Чувашия"
5,9,"Тат","Tat","Республика Татарстан"
5,10,"Удм","Udm","Удмуртская республика"
5,16,"Евр","Evr","Еврейская автономная область"
5,13,"Ново","Novo","Новосибирская область"
5,14,"Хак","Khak","Республика Хакасия"
5,15,"Бур","Bur","Республика Бурятия"
5,3,"Смол","Smol","Смоленская область"
5,4,"Калу","Kalu","Калужская область"
5,5,"Мос","Mos","Московская область"
5,6,"Вла","Vla","Владимирская область"
6,11,"Чел","Chel","Челябинская область"
6,7,"Мор","Mor","Республика Мордовия"
6,8,"Уль","Ul","Ульяновская область"
6,9,"Сам","Sam","Самарская область"
6,10,"Бшк","Bshk","Республика Башкортостан"
6,17,"При","Pri","Приморский край"
6,12,"Омск","Omsk","Омская область"
6,13,"Ал. к.","Alk","Алтайский край"
6,14,"Тыва","Tyva","Республика Тыва"
6,15,"Заб","Zab","Забайкальский край"
6,3,"Бря","Brya","Брянская область"
6,4,"Орёл","Orel","Орловская область"
6,5,"Тул","Tul","Тульская область"
6,6,"Ряз","Ryaz","Рязанская область"
7,7,"Пен","Pen","Пензенская область"
7,8,"Сар","Sar","Саратовская область"
7,9,"Орен","Oren","Оренбургская область"
7,14,"Алт","Alt","Республика Алтай"
8,2,"Зап²","Zap","Запорожская область"
7,4,"Курск","Kursk","Курская область"
7,5,"Лип","Lip","Липецкая область"
7,6,"Там","Tam","Тамбовская область"
8,1,"Хсн²","Khsn","Херсонская область"
7,3,"Луг²","Lug","Луганская область"
8,3,"Дон²","Don","Донецкая область"
8,5,"Бел","Bel","Белгородская область"
8,6,"Вор","Vor","Воронежская область"
8,7,"Волг","Volg","Волгоградская область"
9,3,"Крым¹","Krym","Республика Крым"
9,2,"Сев¹","Sev","Севастополь"
9,4,"Адыг","Adyg","Республика Адыгея"
9,5,"Крдр","Krdr","Краснодарский край"
9,6,"Рос","Ros","Ростовская область"
9,7,"Калм","Kalm","Республика Калмыкия"
9,8,"Аст","Ast","Астраханская область"
10,5,"Кара","Kara","Карачаево-Черкесская республика"
10,6,"Став","Stav","Ставропольский край"
10,7,"Чеч","Chech","Чеченская республика"
10,8,"Даг","Dag","Республика Дагестан"
11,5,"Каб","Kab","Кабардино-Балкарская республика"
11,6,"Осeт","Oset","Республика Северная Осетия - Алания"
11,7,"Инг","Ing","Республика Ингушетия"
